authors,bbox,created,creators,currentVersion,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,modified,path,pid,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,uid,,,,Continent,Duration,
"Becker, J.","50.9999999, 27.0000001, 50.9999999, 27.0000001",2013-05-17T18:22:46Z,jbecker,1,Location based on OpenStreetMap,"water-open,","{""type"": ""Point"", ""coordinates"": [50.9999999, 27.0000001]}",location-of-persicus-sinus-erythr-ae-um-mare,precise,representative,2100,-800,2013-08-13T02:16:05Z,/places/29713/location-of-persicus-sinus-erythr-ae-um-mare,/places/29713,27.0000001,"27.0000001,50.9999999",50.9999999,,M,modern,"1700.0,2100.0",location of Persicus Sinus/Erythr(ae)um Mare,b2148363eeb44abc39aca8915d513345,,,,EUROPE,11453,prehistory
"Becker, J.","4.0, 43.0, 4.0, 43.0",2013-05-21T23:45:41Z,jbecker,1,Location based on OpenStreetMap,"water-open,","{""type"": ""Point"", ""coordinates"": [4.0, 43.0]}",location-of-gallicum-mare,precise,representative,2100,-750,2013-07-30T18:00:35Z,/places/148089/location-of-gallicum-mare,/places/148089,43,"43.0,4.0",4,,M,modern,"1700.0,2100.0",location of Gallicum Mare,3c640dacde4ed8cdf44cc49d04e79438,,,,EUROPE,10300,prehistory
"Becker, J.","8.9999997, 43.5000002, 8.9999997, 43.5000002",2013-05-21T23:42:53Z,jbecker,1,Location based on OpenStreetMap,"water-open,","{""type"": ""Point"", ""coordinates"": [8.9999997, 43.5000002]}",location-of-ligusticum-mare,precise,representative,2100,-750,2013-07-21T13:17:06Z,/places/157878/location-of-ligusticum-mare,/places/157878,43.5000002,"43.5000002,8.9999997",8.9999997,,M,modern,"1700.0,2100.0",location of Ligusticum Mare,1019da45f4a81952ef18726fcbd7ab9b,,,,EUROPE,10640,prehistory
"Becker, J.","39.7108842, 15.3619056, 39.7108842, 15.3619056",2013-05-21T17:29:26Z,jbecker,1,Location based on OpenStreetMap,"water-open,","{""type"": ""Point"", ""coordinates"": [39.7108842, 15.3619056]}",location-of-adoulitikos-kolpos,precise,representative,2100,-750,2013-07-19T18:41:28Z,/places/39272/location-of-adoulitikos-kolpos,/places/39272,15.3619056,"15.3619056,39.7108842",39.7108842,,M,modern,"1700.0,2100.0",location of Adoulitikos Kolpos,db2048ec5cd746cb09e8cfea17d17fad,,,,EUROPE,10300,prehistory
"Becker, J.","39.5, 19.0, 39.5, 19.0",2013-05-17T14:53:38Z,jbecker,1,Location based on OpenStreetMap,"water-open,","{""type"": ""Point"", ""coordinates"": [39.5, 19.0]}",location-of-arabicus-sinus-erythr-ae-um-rubrum,precise,representative,2100,-750,2013-07-29T03:42:35Z,/places/39290/location-of-arabicus-sinus-erythr-ae-um-rubrum,/places/39290,19,"19.0,39.5",39.5,,M,modern,"1700.0,2100.0",location of Arabicus Sinus/Erythr(ae)um/Rubrum Mare,f381447c314b9ac9cf668af795bad160,,,,EUROPE,10300,prehistory
"Becker, J.","47.9999999, 12.0000001, 47.9999999, 12.0000001",2013-05-17T17:51:48Z,jbecker,1,Location based on OpenStreetMap,"water-open,","{""type"": ""Point"", ""coordinates"": [47.9999999, 12.0000001]}",location-of-aualites-sinus,precise,representative,2100,-750,2013-07-21T13:29:00Z,/places/39305/location-of-aualites-sinus,/places/39305,12.0000001,"12.0000001,47.9999999",47.9999999,,M,modern,"1700.0,2100.0",location of Aualites Sinus,59c49cfe167d5ceddaed9aa389d04665,,,,EUROPE,10640,prehistory
"Becker, J.","64.9999999, 20.0000001, 64.9999999, 20.0000001",2013-05-17T17:55:58Z,jbecker,2,Location based on OpenStreetMap,"water-open,","{""type"": ""Point"", ""coordinates"": [64.9999999, 20.0000001]}",location-of-azanium-mare-barbarikon-pelagos,precise,"representative,",2100,-750,2016-10-21T00:07:26Z,/places/39308/location-of-azanium-mare-barbarikon-pelagos,/places/39308,20.0000001,"20.0000001,64.9999999",64.9999999,,M,modern,"1700.0,2100.0",OSM location of Arabian Sea ,3d1c1fe2363f478bc80a616a30a05215,,,,EUROPE,10300,prehistory
"Becker, J.","80.0, -20.0, 80.0, -20.0",2013-02-18T13:50:58Z,jbecker,2,"Coordinates after GeoHack, verified in Google Earth 2013.","water-open,","{""type"": ""Point"", ""coordinates"": [80.0, -20.0]}",representative-point-for-indicum-mare,precise,representative,2100,-750,2013-08-17T02:53:35Z,/places/39352/representative-point-for-indicum-mare,/places/39352,-20,"-20,80",80,,M,modern,"1700.0,2100.0",representative point for Indicum Mare,620226f7d962afd6ed04b49c04f26dc4,,,,EUROPE,10640,prehistory
"Becker, J., T. Elliott","-0.45, 38.3, -0.45, 38.3",2020-09-27T15:04:41Z,jbecker,1,Coordinates following GeoNames,water-open,"{""type"": ""Point"", ""coordinates"": [-0.45, 38.3]}",imagery-location-of-bahia-de-alicante,precise,representative,2099,-10000,2020-09-28T20:39:04Z,/places/265923/imagery-location-of-bahia-de-alicante,/places/265923,38.3,"38.3,-0.45",-0.45,,T,twenty-first-ce,"2000.0,2099.0",GeoNames location of BahÃ­a de Alicante,ea93f28411bd44ff8376b41f7b82e441,,,,EUROPE,12100,prehistory
"Becker, J.","26.19207, 39.15671, 26.19207, 39.15671",2019-08-28T20:20:42Z,jbecker,0,Coordinates following GeoNames.,water-open,"{""type"": ""Point"", ""coordinates"": [26.19207, 39.15671]}",imagery-location-of-kolpos-kallonis,precise,representative,2100,-750,2019-08-28T21:43:31Z,/places/550853/imagery-location-of-kolpos-kallonis,/places/550853,39.15671,"39.15671,26.19207",26.19207,,M,modern,"1700.0,2100.0",Imagery location of KÃ³lpos KallonÃ­s,6c9d316fbfdc4ddbbb97fb9d2c2e6835,,,,EUROPE,10300,prehistory
